"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1773120075454636157","Wed Mar 27 22:50:58 +0000 2024","0","Also kalau nak bersama pergi la bilik lain. Or tidokan anak dalam bilik deme then bila dorang dah tido pi la pindah bilik sendiri. It's a tough work tapi dah kata latihan kan so awal2 tu kena banyak kerja la sikit.","1773120555874447867","","jiraffie","in","Kedai makan","0","0","0","https://x.com/jiraffie/status/1773120555874447867","75551388","jiraffie"
"1773118897366958461","Wed Mar 27 22:44:23 +0000 2024","0","Kerja bertahun tahun di luar negeri pindah pindah lagi belum yang di indo pindah kota mulu psti kan ketemu banyak orang cerita buanyak gitu tapi whyyyyyyyyyyy buat hal ngerti hal basic kenapa you tak tahu??!! Wahai bapak ibuk ","1773118901427024251","","abcgruff","in","","0","1","0","https://x.com/abcgruff/status/1773118901427024251","1646875563628584961","abcgruff"
"1773111846079263164","Wed Mar 27 22:20:44 +0000 2024","0"," Ga pengen kerja di Jawa aja? jujurly belum ada keinginan buat kerja di daerah sana. Kalaupun harus pindah pengen balik ke Timika ajaaaa: )","1773112950477197348","","ajoeir","in","Earth","0","0","0","https://x.com/ajoeir/status/1773112950477197348","248193011","ajoeir"
"1773107073774981378","Wed Mar 27 21:59:45 +0000 2024","0","If let say akan pindah dari sini mesti rindu short time yg diambil utk pergi kerja dan skolah anak","1773107667214508150","","_afiqaa","in","Instagram: @nrafiqaa","0","0","0","https://x.com/_afiqaa/status/1773107667214508150","797447276385796098","_afiqaa"
"1773106163736817852","Wed Mar 27 21:53:46 +0000 2024","27","Sekadar keluhan Kerja ulang-alik Rawang-KL Sentral is tiring.. Kadang pernah drive 1jam 50minit sebab jem.. KTM? Agak susah sebab kerja perlukan travel here and there.. Pindah KL? Room/house dekat KL sangat mahal.. I don t know lah.. Anyway sekadar luahan saje","1773106163736817852","","","in","Selangor, Malaysia","1","3","4","https://x.com/Amrlamnnn/status/1773106163736817852","2426175308","Amrlamnnn"
"1773103920203624909","Wed Mar 27 21:44:51 +0000 2024","2","7 years commute almost sejam pergi balik kerja. tahun ke 8 dapat anak terus pindah dekat tempat kerja n rumah babysitter. now dalam 30mins dah sampai rumah tu pon sebab jem sikit traffic light.","1773103920203624909","","","in","Malacca, Malaysia","0","0","0","https://x.com/cmrdxrxx/status/1773103920203624909","767359784324431872","cmrdxrxx"
"1773099120783138860","Wed Mar 27 21:26:35 +0000 2024","1","Berbanding membuang masa atas jalan. Tidak akan merubah apa-apa. Selain pula meletakkan diri dalam risiko sepanjang perjalanan yang lama dan kerap. Samada bertukar cari kerja dekat dengan tempat tinggal atau pindah tinggal dekat dengn tempat kerja.","1773099320583061586","","Hfnz9","in","Kuala Lumpur City, Kuala Lumpu","0","0","0","https://x.com/Hfnz9/status/1773099320583061586","115002145","Hfnz9"
"1773098661116834086","Wed Mar 27 21:23:58 +0000 2024","0","pgn cpt kelarin kuliah trs pindah sm kerja di surabaya gmw gue balik jkt","1773098661116834086","","","in","priv, rl thingy","0","0","0","https://x.com/simp4kswoo/status/1773098661116834086","1571532012003139584","simp4kswoo"
"1772689225118322748","Tue Mar 26 18:17:00 +0000 2024","0","pindah kerja lagi aaaaah","1772689225118322748","","","in","Jakarta Selatan, DKI Jakarta","0","1","0","https://x.com/harunluthfi/status/1772689225118322748","149072740","harunluthfi"
"1772612084489965945","Tue Mar 26 16:51:16 +0000 2024","0","@tanyarlfes Pernah gini sampe frustasi sebulanan lebih sembuhnya beli salep racikan dokter sama pindah kerja ","1772667646464471544","","tanyarlfes","in"," Sleman, Yogyakarta","0","0","0","https://x.com/nnnulllllll/status/1772667646464471544","3253398163","nnnulllllll"
